review_uuid,review,sentiment
9fff6a25-e0a7-4f11-aabc-bf1ced0cbeb7,good,positive
e5ce3d5d-86da-46d1-af38-8673ceed3c1e,water pump not working,negative
584fbe20-805f-4b6b-b8ed-c5081339153c,the technician is bypassing the pressure switch saying that that water pressure is low but actually that was not the case the water pressure was ok then after a ensisting he rejoined the pressure switch,negative
c5ef74ed-5a76-456d-8f22-dc6ab24b1fbb,good product,positive
d5da473b-b81d-49fa-bf03-af3f72a64f43,worst product ever seen before within 6 months gas problem and now refrigerator is not working cooling issue dont know what happened now waste of money literally we can throw this product in dustbin,negative
d98c8868-acbb-49f5-b357-423219b10336,nice,positive
33e07a90-fd1b-4fda-8023-bebac9ee47bc,very bad performance,negative
747200fe-60d0-4ebb-8abe-1c75743f7a2f,very poor performance service also not satisfactory,negative
7976f6bb-f55f-40fd-8b41-bdc263ec8b4a,low ,negative
1f87b2a3-3e5b-442d-93ff-baca26de93c2,power output is low so you have to buy 90w or above,negative
06c1b32e-17fa-4c24-84f4-c6d9ed456335,i received damage products,negative
262d1a00-58b7-4d88-9c12-6bc03e09e631,worse,negative
06ab8fac-2a3c-4406-8461-1f4f0a515bf4,very good,positive
1f77758d-1360-470c-9e98-645ed64c48d7,go for it this product is amazing ,positive
8d7d4de8-49cd-4cc9-9a8a-0a1a9bc25efa,not good,negative
7b66813d-23b2-474a-8cd8-5b59aabb11d7,no doubt multitasking and performance is just awesomeit really handle heavy task as well as graphic intensive games very smoothly but one point here due to metal body if u hold in hands it feels so hot after playing heavy gamesbut doesnt overheat thanks ,negative
b870d858-9828-4d36-a574-2e21eab84849,very low chip kwalityi am not a happy ,negative
cec6c2ad-216c-43dd-b1f9-90849822f4cb,available only for one wrist,negative
aa56f3b5-4241-4352-9ece-d43274846e2b,this product is not good,negative
fbdd4073-46a2-4e8a-969f-f6c97487efd1,good product best guaalty,positive
9df42645-4769-4de3-8679-835ba7f6e227,i always buy it good quality,positive
6ce96ead-73b8-420b-a357-27079abd47c1,cooling not yet very bed product,negative
1d6cae40-65ad-423f-87a9-3087aaffc158,good but sound is more,positive
a7979c6b-0c63-4142-b318-c2af92e6ec55,good product,positive
2acb5221-eca1-4691-88ca-884946448d32,nice ,positive
84b055e9-707e-4175-98af-c63685b91b8d,there is no drain pump in the entire system we need to manually suck the water using a pipe and even that doesnt fully drain and there is residual water there is no space to atleast try putting a cloth to clear the little water and the sediments even the cooling is not upto mark and the water level is moving from max to min within few hours even though the speed is not at the maximum,negative
c3db33b8-9b8e-426b-b1cf-57d28755c389,it was a fantastic product i love mivi quality specially this soundbar had a great bass and sound qualitythe build quality is also good it is a steal deal in this price range go for it,positive
45987fac-6523-4cc8-8a4d-ea97023eb1f0,i am using this awesome product from almost 15 days i am fully satisfied with its performance jars quality could have been better it makes very less noise compared to my 20y old onida mixie it has powerful motor that can perform any task with ease it comes with 2y over all product warranty 5y motor warranty which is awesome i mainly bought it to knead dough scrape coconut it perform both tasks easily effectively i havent used juicer yet so cant comment on it over all very ,positive
d8154e82-3d0a-4b0a-b386-4ea5e678a5d7,defective product air flow too low,negative
0c28340f-d7f3-4ee8-8359-a5a4c29e5d3a,best keyboard i love click sound ,positive
9926f7b6-86dc-4696-9835-dc1c920b3404,bad quality,negative
d21d5d8a-4ec4-4804-94d9-22bb63b132f9,good but not great i was using fx10 earlier i really loved the quality and the food processor lasted for like 5 years of almost daily usage then i thought of buying fx11 but o must say i was disappointed the plastic used the build the jars are not at par with what i purchased 5 years back its of much cheaper quality also the edges of tbe jars are not smooth and the plastic pieces used to come out earlier while using the jars not sure if its problem with fx11 model only or bajaj has d,negative
70e59961-b9de-4a19-b8e5-2611bd3ffd5e,nice,positive
d8f5894f-b8e8-47d5-9234-714bb56826fe,good product but not comfortable,negative
84b930f3-1f95-48fa-8eb5-9e28b9a83208,note bad,negative
8a87be6a-53bb-48d9-8a6b-61f37aadd184,good quality and i am so happy,positive
57e160da-3c85-4c17-afe3-6f07a096cf7a,it is the best quality product,positive
c3f7394d-ca05-4582-aee3-a417bc60647d,an original charger in low price by flipkart fast delivery also thank u flipkart must buy without any hesitation ,positive
22d56003-9203-4e65-9e30-ccaadc445cbd,not satisfied,negative
c703650c-9657-4f45-8575-c90b022b14eb,product received with defect,negative
2577c05b-50b6-41b1-945f-045ecf1da20c,no cooling,negative
a9fb41a1-8301-4763-a7dc-1eb05af1758c,i dont like,negative
b664e62f-5707-4db5-932c-8ccc798b6948,nice taste,positive
1ba01a14-2073-42f1-8600-5302272e2cb9,awesome product,positive
a5eb3eb5-fc4a-44a4-8564-fd894bed003d,dont buy this product very bed build quality,negative
f79d5ab7-7ddc-4330-8ff6-bac4e11dc167,worst product was not working from second day,negative
d3f943cf-1f1b-423c-bd8d-c197adb8c43c,worst modem 5g signal is disconnecting frequently,negative
b5d7c988-5cc2-47a2-9015-f401635c8ecf,mobile network problem and camera is not good,negative
dd0767a0-e865-4288-80fb-a6c240823dfa,quality is not so good it makes lots of noise when used,negative
acf2c073-f24c-4c44-a5ff-f0711c0d478b,its a good one for day to day task or stitching also to making different design but it is not suitable to heavy use for example four layer of cloth especially pant aur theek cloth,positive
36173d6c-d925-4daf-b2a0-6875766df57f,very very bad product please dont buy it,negative
d64ccd3b-d268-4afa-a881-533f8c9753a3,very useful,positive
5bac3fdc-4aac-4bc9-a15d-9d6c3e574a85,good,positive
0a940d6e-ecc8-4fda-9eb2-731376c09df8,not working properly,negative
a2fe9617-de21-400b-9e4b-852fa8fe7e77,its okay,positive
fd2bc1fe-18b0-485c-afb4-5345809557bb,football size is small and the colure finished and the football puncher bad product,negative
e457b4e6-6a70-42a7-b3c3-79911db64cca,when deliver this cooler then after 5 min run air flow swing stop not good experience,negative
ab43412c-f95e-4340-bc0d-f5a507a00190,nice,positive
0cf6b32f-fd4d-4b59-a2ea-fed4cc8b5388,good product good design good backup ,positive
a870ca67-d83f-4e07-8d27-30f790cc1959,worst productworked only for one week,negative
3f08b9d9-91b5-4edd-bf0c-2a57c8d8c064,88 l is too heavy not much cooling just okay no return option,negative
e6578b02-0ecf-4c3f-b12d-cb0439f79823,great sound and good experience,positive
cda04ebc-871d-410d-889d-0c2a916a6895,good,positive
e85bc9e6-6a8f-43c4-b52c-552dfb8b53c3,not as good as you saw money,negative
1cc1063c-b2b0-498a-a82f-cfcec95a4c04,quality is bad,negative
7daeeb92-7d27-4cd8-a5cd-38aa015b7ede,this hometheatore is work isvery bad quality is very lo quality bass lo bass sound quality is never comes hometheatore quality is never its down function bass subwoofer subwoofer is very small size ican chose side subwoofer its down function and sound quality is very lo ican expect more and thank you flipkart,negative
00865ecd-7a2f-4ae0-a552-f417e2180214,water purifier is good but they need to improve costomer care service and installation service,positive
31a2338f-2dbe-470f-85c9-72ffd793f326,nice car cleaner,positive
7f24c371-bcff-4cd6-9169-fcba715abb9b,very bad i received dry product not acceptable,negative
cd4e34b5-2a4b-4744-90bf-98524ca31ec8,very good febric,positive
87f8dda3-f169-435e-8ea5-0ef26d9e93b6,good,positive
acc16d3f-db4d-4c87-b196-b7c2b7f741dc,beautiful product,positive
674e2c32-1049-4a0f-b4c7-f5091c717386,looks good but quality of the cloth is really very bad,negative
0305025d-c639-41c4-8fe7-8578b6e99580,better,positive
0a16aca4-9a33-4f1a-b9f7-3ee883ce3583,you will not get the windows officewordpptexcel for free with this purchase,positive
abe717ff-4d8f-4bf3-9a50-fe0c028cef39,good,positive
784d55fd-36c5-460f-9a52-61701d27c30c,nice ,positive
be4da4be-6c3d-4368-a058-389445d56cb0,good product,positive
28a51f65-97ac-42ca-922c-229c8da54c13,i always like lakme kajolits longlastingi really liked it,positive
c1778ca8-127d-47b3-890f-5b3f88158716,sound quality zero picture quality zero,negative
1efbec14-2c9e-4ef6-a10f-6ec4eb6c8154,quality is very poor not working properly,negative
03ad5bc7-b43e-4395-88a9-ca370b3df947,awesome product samsung great,positive
78bea1f2-d0fa-4f18-a6e8-2b0a36f07208,the product is good but service is bad,negative
5269195d-b2e8-4258-9ba8-b4352df361ac,quality not good,negative
5eed2d42-cbc5-42d2-8053-f00260ac5099,i bought in 1499 from flipkartits perfect in that price looks good,positive
af35e91b-d1d0-4422-b612-ed90f66a8580,good,positive
539f1430-f031-4a8e-a095-45eb0bb24672,product is first classbest one in 650 but 3 stars due to torn box and no warranty card inside it and no proper packaging,negative
19955ace-2ef6-4241-b907-435da33b5416,picture quality is average sound is good screen mirroring is not working and still not solved worst experience from mi engineers and flipkart customer support,positive
8f8c0ba0-be31-421f-beab-05f37b1f253a,decent purchase,positive
a7daa8a8-b5c5-4919-9d4b-3cf4f6e2c757,low quality product,negative
18435699-0f5a-4b33-82bf-20365c8193a7,good productdelivered in few days,positive
e296d3c4-9603-461f-863e-3bf23e28fea8,not good experience with mivi within 2 months of use volume quality became poor and bluetooth connectivity issue sometime no audio output from speaker,negative
a9d5cc68-b37d-4d6d-97b7-75203e3e796d,its is a good product overallstoring capacity is enough for small here n there cleaningsproduct quality and packaging is very good attachments are given in boxsometimes felt like the suction power is lowbut it does the job well,positive
d96a3531-a178-44cf-b6f7-507186b4f4d7,this is problem,negative
81bf6646-052b-4f1a-83e9-2fc735dd6d4e,very weast product,negative
1c56e5ba-192f-401c-8f58-ee0cd2b013e7,there is no analog watch face in store activity features also dont work properly total waste,negative
cf9e50b1-bec5-4342-9b17-93f8f53b8e43,good,positive
c296c31b-90a2-479c-9573-65287907408f,very slow processes and hanging alway not a good product performance is very slow,negative
839059ad-6b5c-4c16-b865-04fada9a74c1,very bad,negative
291febcd-df1d-4fe2-82df-931c376585aa,colour sound connectivity everything is too good,positive
5f9f249a-c126-4dfd-929f-21275cc5b4fc,love it,positive
ec1b8272-e7b7-4c1e-a2ec-c774561427ba,not good d,negative
cf1a6b37-252f-431d-8fd8-abf820b6180c,for those who want bass dont purchase bass is not bad but is not super awesome sound quality is perfect very comfortable very nice design microphone is awesome battery backup is what i liked the most 2hrs of charging gives you 78 hrs of continous useoverall these are worth your money,positive
bb266a80-7201-4a66-b94c-01d3f230754a,camera is not so goodface lock not work properlybattery backup is awesomemassive 11inch display,negative
01d56934-6ef6-444f-9828-952682d7b123,nice,positive
e7e1eab7-6fb4-44cf-91dc-446395e30286,ghatia,negative
83a1602b-ca14-4ab0-b8c5-3473109904c3,a stabilizer is required for it which was not told in details space for vegetables is not suitable used totally for preserving it as the base is small,negative
e1a60d8c-d300-42e3-bf07-78c69713aeb9,nice,positive
bf176c20-0eda-447e-b786-785aa8bbdbdd,fragrance not good,negative
eb820a7b-f150-4b34-996f-2d5024e5a8fa,good i am happy,positive
bd76aa0f-93a0-4f28-89e1-9b58e2cbdaa9,not good,negative
f355d453-b60c-4a56-a07a-3ef38a309632,awesome product ,positive
55e86eed-2499-4b9b-994b-6b967d111fc5,its not good one if you are buying for playing in ground dont just buy it if you are buying for childrens it will be good ,negative
45c0a9ab-5da0-445c-85ba-f800355b3f74,good product,positive
4dadcfb3-a1d0-449c-acdc-561a593d4d77,too noisy and up down grill automatically down drain plug not provided,negative
d7f362ab-ef44-4a87-9df5-ed1c3384aa0f,received broken pieces not well,negative
923f243a-ccdb-4f22-a018-6fbbafc27ece,i expected about it more than denver hamilton caliber due to the reviews and stars but disappointed in my opinion its an over rated product from hamilton series perfumes of denver,negative
66012479-0b23-4349-8a0e-ea0b12391f5f,good,positive
31cdc5d9-42cf-4834-9486-86c7c6c09343,good one,positive
5777af8d-1592-4a3b-8363-c05f810f41b2,no smell,negative
06c0896e-ae80-4a44-a5c3-23234ab5c4f6,amazing sounds quality and bass extremely good and battery backup very good,positive
0734caf7-b57c-49ff-9a1b-1b380080af86,if you want to space dont go for this refrigerator,negative
00082c0c-3d5a-496c-a78c-94016471255a,this product is very helpful in daily life like to chill out by listening song to remembers your small scheduled plan throughout the day,positive
dbb15de5-d568-412b-b246-7418b28a37f5,mi copy,negative
1536cc53-15aa-493e-ac5c-452d68879627,the ball was so hard and childrens cannot play with it,negative
cb87fd3a-f5ff-4452-8bc5-d140befed5b1,waste producti dont know how this product qualified flipkart quality check,negative
7a1cc17a-0961-4740-ba67-b69f275b61cf,it was awesome,positive
3411990d-f809-4280-a747-d3daf53b3551,best one,positive
ba6b4b88-8872-4ad4-b093-091b2558fcda,problem slow processor for calls camera back overall ok front tottaly waste display okbattery superperformance just good overall mobile 70100 per mobile capacity and rate ,negative
37ed8472-30c6-4d37-a4e4-6c6855a70f8b,nice,positive
4ac2cfb0-301e-4150-8405-b1613ab999a2,nice product ,positive
227a61d0-7b17-4a52-9840-d70ad66ab305,cooling is good it depends where you placing cooler dont place the cooler close to window the humidity will be high keep the distance of atlist 89 feet from window and open the window ive already tried the same previously it was close to my window and it felt like more humidity wet body so irritating but now the distance is 9 feet from window and the right side of the cooler is face to window and the cooling is awesome now im decreasing the fan speed at night,positive
dcbd1a76-1446-47c6-b77a-49db1cd93919,very worst product,negative
8a83d2e6-1901-4467-931c-f7093f36639e,low quality not good,negative
a4191956-49b9-4d95-bccf-80a931c58486,very nice product,positive
3be20b62-1c57-4a09-922b-77bbd1533fff,very bad experience,negative
816280d5-062e-4a78-b960-97982517f801,poor quality,negative
1d829d27-0dd2-4cdb-96c6-91a1b0fc65ac,best quality,positive
f9322249-58fb-4caf-8f23-8076153ed4fa,nice ek number power bank,positive
2bdd4d36-a7d7-42b6-b996-5f723387c3ac,good usefull,positive
d3a3b31d-b109-4431-8371-2d59152b550f,ohhh lovely ,positive
d89adc84-940b-44b4-9ef5-7b0f63bc9c58,quite good,positive
a3b88ddc-4e48-4715-982c-d053dab6c561,horrible shoes it just looks little nice but pasting is so bad and not a real leather it have some kind of coating on it which was started peeling off next day and grip is also very poor,negative
ed049be5-44a9-47e9-b1bc-35f32a0dffd5,very bad quality product,negative
bfed5dce-7f52-4311-83ca-3f4f5ccb0030,good gift for kids,positive
abffd88d-8ec2-45e1-b6c3-cdd90759f6b3,i am satisfied,positive
155e630b-2847-43dd-833c-69f938b6689c,nice product,positive
11cb5a64-4f86-4c7d-aa70-14ebf3dfd65f,this bat is very good and this bat play tannis ball good product and tank you filpkart,positive
62804ecd-77e6-417e-ab6f-3e30ee6576bf,worst product no worth,negative
e8356bb6-f0e9-445c-802d-7d98d833d6c8,very bed products dont by this product,negative
ec3c40b4-b270-4037-868b-900acc88a15b,very comfortable with light weight,positive
a05d3877-73af-4679-8afc-ebf55f9a1760,bed,negative
6b2a8043-8cd8-413f-ac94-4a6513ca804e,nice product,positive
e3b988c5-9ecd-4276-a099-f43fd6096e2d,good product,positive
6de671b9-e4ac-4f62-be1a-407a821ce33f,getting to much noise totally unsatisfied ,negative
a2254a2a-d999-4b2b-99d8-6fa76b0662e4,good cooling,positive
f4734b0a-73e8-4915-a4d6-a48d97078186,nice,positive
63df39d9-9698-4077-8057-4c039a086cd5,terrific football,positive
a8f12582-e42a-4ccf-9b1e-83806f1ffe2f,hey friendsi got this osm perfume frombellavitaluxuryofficial and it smells sogood me and my husband both are usingthis perfum because its unisex perfum andeveryone one should try this,positive
e4ec28a8-36dc-4ff2-a7ea-82da80411d16,good ,positive
71331ddf-ac99-478f-beb6-1280304c1e74,product is not good grinder is going to stop immediately while grinding not worth for money,negative
d48c35af-5986-4b9a-90a1-759b22e84d73,nice ,positive
73153e1c-e964-4b0d-bad1-b3ae81a180af,so comfortable,positive
9cbda608-dca1-40e0-a426-459341238055,fabric is so so bt ok in this rate,positive
58b92bd0-52de-46ac-8613-79ee3db8c023,sond do not work proper,negative
c4fa6d48-2ab3-4fba-83cc-8e2897cc4f29,inalsa food processor is not doubt the best have been using for past 15 years hence ordered new for parents,negative
8c36dc18-f83c-40b1-a87a-68408bd1e792,nice products,positive
7226f228-b68e-417c-a80c-4519d38de539,i am not happy ,negative
aaf499c1-f375-4c89-ba0d-dbb116f29106,nice product,positive
9d1e5f7f-09a3-40c4-ba7a-5e513535e331,very bad sandal it is not comfortable for wearing and very bad product,negative
a3562d35-7e37-4691-bc19-dd85e27c0559,good charger it charge my samsung galaxy f23 in just 1 hour and 13 minutes from zero i highly recommend for samsung device,positive
6481f2a0-3b1a-4f7a-8616-cad555acd64d,very poor matrial quality and color feel very vwry bad,negative
28630fc7-74c5-4171-b84f-6bd111273f35,good,positive
e918960d-8ca7-4ede-940a-a78b30abc42f,worst product,negative
5e76b311-1583-4fe0-813b-5186b7267d58,very nice just i love it,positive
f14216dc-4acc-4581-9e25-d8045e508743,tv exlent picture super,positive
e492a9c1-f71d-4ab4-b186-2913130c81b9,this boat watch is very good ,positive
3994d707-be6a-4d2b-9555-ffdc7a3cd8d9,the best portable laptop i have ever used,positive
27c11712-863d-4900-9d43-84885c284192,product is not good every time it slips from elbow eventhough it has tight belt,negative
26589e39-4f59-4ee5-aace-0264a403f6d4,very thin no wait,negative
394417a1-3aad-42da-b793-a25cfe487752,not very much user friendlybetter if illustrative videos are provided,negative
4c73362e-9568-4592-9e09-95013d0fd543,waste,negative
6a72792d-5dce-4c5d-b202-4b0b0b0a2dc1,not good,negative
bdcd8aea-c450-41cf-b067-e1ca45bbf802,really bad product,negative
36e02a7c-750c-4fa9-a695-f9d2f49cd697,good product at this price,positive
542338ee-3506-4c72-a551-7dcc37fa4fdd,worst rice is not being cooked properly and lot of sound please do prefer panasonic which is excellent,negative
ebf93c19-a662-43dd-9e24-4544ddb3a14c,worst product according to me dont buy it ,negative
aff82da4-8b91-46c7-a64b-29274dfba60e,inner quality of parts not so goodoverall okey,negative
c1d27124-02ee-4b91-9847-eb57a33436d0,ok but,positive
3bfb31df-48c1-493c-9ff2-fb11fde33eed,nice product,positive
5331f4ca-a130-41dc-a412-22b50677f8e4,worst product pls dont buy delicated dish bowl after cooking bowl changes to black colour in bottom i request to flipcart pls stop selling this type of delicate products ,negative
b7a50c1d-eef7-46ed-8a94-60668a5f8fee,battery backup issue,negative
023b5346-5453-45dd-a31b-107d1f738001,worst product and please don t buy this product at all,negative
4dc19d8b-2fe0-4c7c-8e3e-2352a324e272,using it since 4 monthsgood for family of 23quality of wash is good better than maidgreasy and hard stains like milk vessel needs to be prewashed,positive
72c951e0-0aad-42e0-9ceb-19ddc0b98258,performance is good low noise during wash and dry i feel its worth the money,positive
44c7fbf0-d213-456e-a15c-0f76c55f9e58,it is so good i love it,positive
a9adfa49-bfd8-4d7e-8734-f15ca74bb9ee,super,positive
b72454a6-24b2-4b23-99a0-8b6c58f162d5,good product,positive
8c29374e-a6dd-4ff6-9f23-de185baa5568,nice sound,positive
62dda38e-90b2-40ef-ad63-af7ee0269a5e,very very very bad product dont buy it the flipkart service is also very bad dont ever think about buying this product,negative
fac5e8e0-6a4a-476a-b1c0-0667aece6c01,very well installation and people are so nice and their gesture are so nice by people of muskan traders at patna bihar,positive
ecd5c20d-eb1f-4f38-94d2-86335cf2cbc7,comfort,positive
6b6b4285-cc30-4fb9-b8ed-7f0f06989dd2,super,positive
befa173c-eab6-42fc-8659-72195e8aa19c,best,positive
7be3e30c-ffe0-4b4d-9bf4-7ce8b7934d35,nice,positive
21515f69-4f24-4e16-b65e-f313b64d47ab,quality not good,negative
29999726-9d19-400f-a715-d3d799b70810,after 6 days of using now the charger is not working,negative
35c73219-02bb-4961-a425-ddd21b5e7ff9,got this in a much cheaper price in flipcart and the cycle is v cooool,positive
2950bac7-377a-4ae4-82bc-98ff7dee961f,good,positive
03344553-bfa9-45e5-b4b8-e523b4f5e345,waste of product dont buyit doesnt work properly not even for 1 monthworst customer support,negative
16a0b1bf-6717-429e-9345-fb41e850051b,not a product good in every side very bad item,negative
75c8acd4-7d14-4855-9557-963f5263b9de,worst product,negative
b600e62a-7ca9-44ee-8419-f0b3a405dcdb,loved it,positive
aa4f3a76-1185-49ee-bd70-c73593eca65d,1star also waste this refrigerator deep fridge oil leakage customer care asking 3500rs in repair cost i sold in last 5 months,negative
8750f2e1-8a18-4f77-9954-5b845e1c1ef7,good quality loved it,positive
49c2070f-731b-4560-8bf3-0f1568193a9a,not very great as per price and description medicore product flipkart has comprised its standard get back to your best flipkart,negative
0b35e76b-583f-4487-93a6-ddf8cc6c8af9,waste of product,negative
695a766e-5156-4c8b-89b5-8a0389513cd5,just fraud marketing nothing else,negative
c3fa450c-5bc5-4d8e-bc7f-e2ee21add909,a very bad product,negative
62ab191f-8986-442b-887b-e5aadce5f157,thank you,positive
57968a69-e153-404b-8cb7-b4e14e353815,good,positive
63560af5-2e04-45ac-a3bf-addc951d1621,bad quality,negative
56669ebb-c3be-4726-bf3e-b7c56397e064,poor built quality,negative
75004f92-35aa-446d-ad85-2d0b9c16e80f,nice qulity but sum part of damage,negative
f81ceace-ed32-42e6-8ec6-49395afd8a28,goog,positive
eaaaf3fe-2822-4208-adc3-a881d92d1ec7,gud and prompt installation by hindware,positive
014d4ba9-ed01-441d-805c-70bbdbf1de8a,excellent charger no heating issue thanks for flipkart for fast delivery,positive
f524161f-25c6-41c2-b76b-65709e6a7499,money waste product,negative
be8c5ba8-edf9-46c9-8347-846d0c1177a3,within 1 hr of wearing the sole stared pricking from inside,negative
866ad194-3330-4944-bfde-1b17269c97e2,bass is great i would give it 5 out of 5 for bass and its pretty loud with some smartphones like realme or mi and not very loud with phone like oneplus 7t but sometimes there is distortion when its bluetooth is on and its battery i dont know why it goes from 90 to 70 percent and straight away from 70 percent to 30 percent and when it reaches 30 percent battery it beeps continuously after every 15 to 30 seconds when you listen music via aux there isnt much bass thats what i didnt like o,positive
bf5456c7-4cfd-451f-8f4a-0f5a80c671fd,poor dont buy,negative
04b9e288-c6fb-40c6-9d5c-b48039c75bdb,superb,positive
792fc0c8-5bbe-4f73-8e5a-7bbb6a8fc6ef,dont buy the product its very low quality the upper lid comes out automatically after 1 year the on off button was not fuctioning not durable,negative
d52d26e6-1343-4923-8a0b-6b2041b4b6d7,amazing hair oil is really non sticky and quality is superb got rid of dry frizzy hair after few applications,positive
2d6bc96a-90ff-48b3-b885-69293102a421,not a good product i hate this,negative
27c1925a-df7d-4803-9e76-eefe5fa4ac78,this is agood pair of shoe,positive
9ddb0fc7-8148-484b-92b0-c1d6fc768489,value for money,positive
98ec239b-f7d2-4970-a97e-1d588b4f3f94,it is a nice product and better to use it,positive
25cce00c-4ae2-4fc8-b6fd-6a4d21390397,very good and reliable product i had my previous bosch dishwaher for 15 years,positive
e9792462-81dc-42d5-ad87-d565b967cc7b,fantastic,positive
d50667d3-cd90-458e-8e3b-97dab081e1c9,not good quality,negative
c0bd40c1-deeb-4773-8fdb-db93a2f98f5a,just perfect,positive
53e2ec77-18f2-42c1-9af2-035c5fb0e73f,hittt,positive
36f769bd-0b1b-4fb3-9cc8-ba91c9be09af,no timer you do not know when it will finish washing clothes,negative
cc7a5f99-a7ea-415a-b227-390e41dec7ed,very nice product,positive
dc63e1e2-35c4-4b6e-9d4b-5cd641cba6d5,good,positive
2b2990cc-0b2a-4921-ac03-ed610458bac4,good,positive
e85f42d9-0f17-4cd7-ad9d-e960aeb5fe68,awesome,positive
a196c982-9548-4d55-9e6e-7ffebeb5e136,i am using it for lasts one week still now its working perfectly fine earlier i used hul puriet ultima ro which was baught 5 years back for 20k rupees it was started giving error display of pump faulty but after changing the pump still the error was continued so authorised service center technician asked to change the whole set this time i decided to go with kent as i was not satisfied with my investment of 20k for 5yrs on hul puriet ultima ro hope this time i will not face such i,negative
ddbd95a7-817c-43c8-838d-0d9bc64f0e30,1st laptop was heating replaced it but nw the replaced one is also heating more than the 1st one and also laptop on speed is more and also battery drainage issue is pathetic,negative
27bc5aa0-e557-4c6f-84ae-4fe97f08420d,i dont like this rice cooker it takes more time than gas oven,negative
b078d410-ea04-43d1-9e56-282ca3b12a29,its the right one which i wanted,positive
998a35ca-6aae-4809-9642-ebe95d29708f,not providing cooling and also too much of humidity yes it is less noisy compared to others but definitely not effective in cooling,negative
abcb1a29-4bd3-4227-9c98-9e0e2a9674a6,i bought it a week ago and its leaking so badly,negative
82fff897-9eea-496d-b21a-1c48786bb96b,very good and smooth working all functions are very good but wood grass all side bad improve side honeycomb cooling pad,positive
9eeb41d9-eb78-457e-879d-88ac1757b61f,nice product but some accessories missing ie oil bottle screw driver,negative
7ed71701-c289-4868-9a32-f48b6d8419fb,nice,positive
1c6081a0-c199-4b9b-9ff2-e8223289f3bf,not badbut it looks very small,negative
e03a98f4-a749-4bf4-b67e-ad7fe01671d7,very bad result,negative
8fd67a85-6507-4fe0-993b-cb4f6d416d0d,i got this nest mini offer at just rs 1999 for buying new mobile positive 1great sound and good bass 2you can connect tv and speakers easy by commandnegative 1you can only play song available in gaana app if you want to play old movie song you need to be a premium member in you tube music2 so you pay 100 rs for youtube subscription for every month,positive
7b0dc151-5d28-4515-a6a6-5772c7232e2c,no good,positive
4ac0bb0b-b2c3-4b11-a1f1-dcc13cd9f0a6,mind blowing product,positive
e076ae10-3108-4412-8563-7bf4f4cebb3e,nice product,positive
c63da8fc-383b-4882-b288-3278ac776856,nice,positive
fa4b974b-5e37-4bbc-99a8-bd44440ca9ef,same as in display good to gosuper quality and comfortness,positive
267c7e3b-b3aa-4712-9cb8-e60fb6c66e8b,not reached expected,negative
08810e48-2c94-4ae1-a37b-16b2c8664f7b,heating is very slowbowl quality is also not so goodoverall product i ok type,negative
e4a824df-25d8-487e-9456-60323e0d394d,please dont go for it flipkart and hindware is making fool if any problem will come they are not going to help i dont want to use abusing words but they people deserve so much,negative
af516c70-7a3e-4752-b5e1-45076dbb37c7,good product,positive
